"id","source","coin","satoshis","wei","usdt","timestamp"
604,0,"NMC",20758,,,1508341364.71014
605,0,"FLDC",158,,,1508341364.71014
606,0,"BCN",25,,,1508341364.71014
607,0,"FLO",1248,,,1508341364.71014
608,0,"XPM",1950,,,1508341364.71014
609,0,"BELA",1825,,,1508341364.71014
610,0,"GAS",384836,,,1508341364.71014
611,0,"CLAM",73186,,,1508341364.71014
612,0,"OMG",148000,,,1508341364.71014
613,0,"LBC",3100,,,1508341364.71014
614,0,"PASC",4632,,,1508341364.71014
615,0,"GNT",3918,,,1508341364.71014
616,0,"OMNI",410052,,,1508341364.71014
617,0,"BURST",120,,,1508341364.71014
618,0,"VRC",5781,,,1508341364.71014
619,0,"GRC",602,,,1508341364.71014
620,0,"BTCD",1533000,,,1508341364.71014
621,0,"NAUT",1802,,,1508341364.71014
